ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
ee5f4804eb35ce42c5391b982bd30d9b,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,185489,,,
ea05ca66caa7f06bbc91467da639568a,image.jpg,,image/jpeg,media/image.jpg,,,54539,,,
f3635db8b8a26c95333837a29b01ab50,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,231645,,,
ajyuwa_mp3,mc_bora_ajyuwa.mp3,,audio/mpeg,media/mc_bora_ajyuwa.mp3,,,34704768,2169.024,ajyuwa,
ajyuwa_wav,mc_bora_ajyuwa.wav,,audio/x-wav,media/mc_bora_ajyuwa.wav,,,416448044,2169.0,ajyuwa,
ajyuwa_eaf,mc_bora_ajyuwa.eaf,,application/eaf+xml,media/mc_bora_ajyuwa.eaf,,,3855343,,ajyuwa,
ajyuwa_xml,mc_bora_ajyuwa.xml,,application/xml,media/mc_bora_ajyuwa.xml,,,784733,,ajyuwa,
ajyuwa_tsv,mc_bora_ajyuwa.tsv,,text/tab-separated-values,media/mc_bora_ajyuwa.tsv,,,236760,,ajyuwa,
meenujkatsi_mp3,mc_bora_meenujkatsi.mp3,,audio/mpeg,media/mc_bora_meenujkatsi.mp3,,,11620224,726.24,meenujkatsi,
meenujkatsi_wav,mc_bora_meenujkatsi.wav,,audio/x-wav,media/mc_bora_meenujkatsi.wav,,,139430444,726.2,meenujkatsi,
meenujkatsi_eaf,mc_bora_meenujkatsi.eaf,,application/eaf+xml,media/mc_bora_meenujkatsi.eaf,,,1355994,,meenujkatsi,
meenujkatsi_xml,mc_bora_meenujkatsi.xml,,application/xml,media/mc_bora_meenujkatsi.xml,,,275713,,meenujkatsi,
meenujkatsi_tsv,mc_bora_meenujkatsi.tsv,,text/tab-separated-values,media/mc_bora_meenujkatsi.tsv,,,93265,,meenujkatsi,
